toi,tid,tfopwg_disp,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim
1295.01,219852584,CP,3.1968838,0.0000007,-0.0000007,0
1296.01,219854185,CP,3.9443668,0.0000010,-0.0000010,0
1297.01,229536616,FP,3.9303400,0.0000700,-0.0000700,0
1298.01,237104103,CP,4.5371361,0.0000018,-0.0000018,0
1299.01,258777134,FP,5.9294050,0.0000084,-0.0000084,0
130.01,263003176,CP,14.3392144,0.0000223,-0.0000223,0
1300.01,293687315,KP,2.8716983,0.0000067,-0.0000067,0
1301.01,356867115,CP,6.0964074,0.0000057,-0.0000057,0
1301.02,356867115,PC,,,,0
1302.01,441797803,PC,5.6666168,0.0000018,-0.0000018,0
1303.01,185405474,FP,1.5602900,0.0001200,-0.0001200,0
1304.01,186000935,FP,8.8735214,0.0000153,-0.0000153,0
1305.01,232679662,FP,7.8513774,0.0000046,-0.0000046,0
1306.01,233735068,FP,7.6869063,0.0000049,-0.0000049,0
1307.01,236815160,APC,2.5346120,0.0000009,-0.0000009,0
1308.01,277014266,FP,1.3797091,0.0000062,-0.0000062,0
1309.01,287190564,FP,1.4986100,0.0001200,-0.0001200,0
131.01,235037761,APC,6.2407826,0.0000018,-0.0000018,0
1310.01,294179389,FP,2.6796000,0.0000300,-0.0000300,0
1311.01,378159598,APC,6.1406417,0.0001103,-0.0001103,0
1312.01,405904232,FP,11.0765063,0.0000066,-0.0000066,0
1313.01,11111899,FP,0.6193401,0.0000005,-0.0000005,0
1314.01,136848581,FP,2.6400663,0.0000076,-0.0000076,0
1315.01,137284119,FP,2.5778717,0.0000237,-0.0000237,0
1316.01,15565627,FP,3.8050900,0.0005800,-0.0005800,0
1317.01,165523947,FP,2.9904100,0.0017300,-0.0017300,0
1318.01,167092385,PC,4.9865029,0.0000139,-0.0000139,0
1319.01,167098530,FP,0.8909670,0.0000017,-0.0000017,0
132.01,89020549,CP,2.1096805,0.0000040,-0.0000040,0
1320.01,167403519,PC,3.9729429,0.0000033,-0.0000033,0
1321.01,195199644,FP,1.1988800,0.0002500,-0.0002500,0
1322.01,240450679,APC,3.3764400,0.0003100,-0.0003100,0
1323.01,256886630,FP,2.0390500,0.0011600,-0.0011600,0
1324.01,266688542,FP,2.9424142,0.0000089,-0.0000089,0
1325.01,274942910,FP,1.0793011,0.0000014,-0.0000014,0
1326.01,275111900,FP,8.0428575,0.0000030,-0.0000030,0
1327.01,312083267,APC,3.9392211,0.0000033,-0.0000033,0
1328.01,330332501,FP,4.0157492,0.0000209,-0.0000209,0
1329.01,345996087,FP,2.0197600,0.0017900,-0.0017900,0
133.01,219338557,PC,8.1995368,0.0000168,-0.0000168,0
1330.01,357457104,FP,1.7480540,0.0000061,-0.0000061,0
1331.01,387664866,FP,2.6564600,0.0010900,-0.0010900,0
1332.01,387664868,FP,2.6568800,0.0012100,-0.0012100,0
1333.01,395171208,CP,4.7201912,0.0000023,-0.0000023,0
1334.01,42123111,FP,4.0334900,0.0004400,-0.0004400,0
1335.01,89759617,FP,3.3295394,0.0000116,-0.0000116,0
1336.01,92783821,FP,3.8615978,0.0000159,-0.0000159,0
1337.01,160708862,KP,3.3448312,0.0000023,-0.0000023,0
1338.01,260128333,CP,95.1740000,,,0
1339.01,269701147,CP,8.8803281,0.0000056,-0.0000056,0
1339.02,269701147,CP,28.5804740,0.0000386,-0.0000386,0
1339.03,269701147,CP,38.3511223,0.0000697,-0.0000697,0
134.01,234994474,CP,1.4015183,0.0000048,-0.0000048,0
1340.01,233681149,FP,8.5874668,0.0049814,-0.0049814,0
1341.01,233390838,FP,6.4474918,0.0000049,-0.0000049,0
1342.01,256621916,FP,1.4136455,0.0000009,-0.0000009,0
1343.01,358631536,FP,3.4040139,0.0000123,-0.0000123,0
1344.01,1400770435,FP,13.7432169,0.0000934,-0.0000934,0
1345.01,160487753,PC,8.4713400,0.0048800,-0.0048800,0
1346.01,219852882,CP,5.5025577,0.0000152,-0.0000152,0
1346.02,219852882,CP,1.7622537,0.0000046,-0.0000046,0
1347.01,229747848,CP,0.8474218,0.0000048,-0.0000048,0
1347.02,229747848,CP,4.8420438,0.0000167,-0.0000167,0
1348.01,229770036,FP,2.1405600,0.0002300,-0.0002300,0
1349.01,272635712,APC,12.7167200,0.0022300,-0.0022300,0
